E(keV)	Px(MeV/c)	Py(MeV/c)	Pz(MeV/c)	X(mm)	Y(mm)	Z(mm)	T(ns)
0.00564995	-0.0272145	-0.00718834	1.09232	1.15541	2.57935	-1.49009e-09	478.322	
0.00564142	-0.027348	0.00532032	1.0915	-0.209643	-0.320388	-1.49009e-09	476.077	
0.00564885	-0.0188268	-0.0222685	1.09219	-0.954759	-0.545058	-1.49009e-09	478.589	
0.00565277	-0.0149965	-0.000566706	1.09286	-2.23581	0.108927	-1.49009e-09	477.505	
0.0056385	-0.013219	-0.00520311	1.09148	0.343922	-0.0423444	-1.49009e-09	475.615	
0.00563075	0.0603825	0.0336922	1.08863	-0.29855	-1.33148	-1.49009e-09	475.614	
0.00562461	-0.0145962	0.00885929	1.0901	-1.1904	1.04839	-1.49009e-09	473.103	
0.00563962	0.0428485	0.010026	1.0908	-1.6788	1.85792	-1.49009e-09	477.731	
0.00564337	-0.0227329	-0.0110931	1.09176	-1.26797	2.52114	-1.49009e-09	477.606	
0.00565434	-0.0279953	0.000158123	1.09275	0.578687	-0.524721	-1.49009e-09	478.833	
0.00564053	-0.0335306	0.0138318	1.09117	0.0904822	0.119949	-1.49009e-09	477.049	
0.00562343	-0.0290033	0.00645032	1.08971	-1.54557	1.62637	-1.49009e-09	473.88	
0.00564295	-0.055036	0.00534219	1.09061	2.65394	-0.125048	-1.49009e-09	477.949	
0.00564019	-0.0177572	0.0061172	1.09158	0.921996	0.571831	-1.49009e-09	475.595	
0.00564149	0.0290859	-0.00799325	1.09145	1.9509	-0.328652	-1.49009e-09	477.293	
0.00563921	-0.0384639	0.0177082	1.09082	0.669514	-0.299328	-1.49009e-09	477.037	
0.00564017	0.00969255	0.0039882	1.09169	0.0249647	0.553598	-1.49009e-09	475.592	
0.00562729	0.0450248	0.0275837	1.08921	-1.67266	-1.43847	-1.49009e-09	475.416	
0.00563216	0.0485615	0.0257133	1.08958	-1.71811	-1.42178	-1.49009e-09	476.132	
0.00563439	-0.0153653	0.0235881	1.09082	-0.850607	0.201252	-1.49009e-09	475.726	
